"id","nombre","año","mes","día","hour","minute","sube","baja","queda","descrp"
"8","diego de almagro","2016","02","09","10","47","","","17.0","Central sin variación por Línea 220 kV C. Pinto - San Andrés"
"19","luz del norte","2016","02","09","10","47","","6.0","117.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","09","11","11","3.0","","20.0","Central sin variación por Línea 220 kV C. Pinto - San Andrés. Mayor disponibilidad de recurso solar."
"19","luz del norte","2016","02","09","11","11","","20.0","97.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","09","11","36","3.0","","23.0","Central sin variación por Línea 220 kV C. Pinto - San Andrés. Mayor disponibilidad de recurso solar."
"19","luz del norte","2016","02","09","11","36","","3.0","94.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
"9","san andres","2016","02","09","11","54","15.0","","15.0","Cancela IF335/2016"
"8","diego de almagro","2016","02","09","12","0","","1.0","22.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","09","12","0","","3.0","91.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
"9","san andres","2016","02","09","12","14","","15.0","0.0","SD4679/2016 El objetivo del trabajo es realizar un estudio y monitoreo de la red 220kV."
"8","diego de almagro","2016","02","09","12","14","","1.0","21.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","09","12","14","","5.0","86.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","09","12","52","","1.0","20.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","09","12","52","","3.0","83.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","09","15","15","","3.0","17.0","Redistribución de Potencia Mayor carga eólica de C. Taltal -32 MW"
